        reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
WAL024   11046484                 236916                 168029                5333586                3733138                 33166                      1266             11012052
WAL030    5912566                 125059                  92718                2257276                1595067                 14683                       490              5897393
WAL031   12885769                 272483                 205220                6435393                4572331                 37181                      1675             12846913
WAL033   12814125                 268405                 212863                6763345                4652479                 38377                      1611             12774137
WAL036   12022931                 252896                 179163                6331536                4399858                 36406                      1654             11984871
WAL040   12366076                 258576                 197186                6216600                4224760                 36886                      1423             12327767
WAL041   11375505                 242155                 182008                5666464                3914667                 33323                      1455             11340727
WAL042    6235006                 132058                  95001                3200154                2224881                 18566                       884              6215556
WAL045   15696461                 329829                 239446                7894921                5551393                 46806                      2087             15647568
WAL078   13323826                 274566                 213775                6921770                4941538                 38655                      1786             13283385
WAL079    8814834                 187058                 128882                4554158                3184844                 26397                      1251              8787186
WAL084    9367187                 201589                 136696                4608403                3173978                 28145                      1213              9337829
WAL086    9777203                 210098                 147754                5002629                3657045                 28536                      1427              9747240
WAL088   11450152                 243145                 185048                5870015                4122794                 33482                      1741             11414929
ZUR011   12687148                 264562                 193998                6664641                4924551                 37696                      2059             12647393
ZUR018    9922827                 210186                 147271                5112702                3658199                 29536                      1415              9891876
