chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778286.1	C.acrinasus	THU097	6	1373.19	99.2955023927273	103.986517154017
LR778287.1	C.acrinasus	THU097	6	924.819	117.525859951557	125.170562381169
LR778288.1	C.acrinasus	THU097	6	386.82	103.760296107573	90.6871771879639
LR778289.1	C.acrinasus	THU097	6	695.246	110.665157975952	106.501717658599
LR778290.1	C.acrinasus	THU097	6	2211.55	140.721310697248	175.789570335357
LR778291.1	C.acrinasus	THU097	6	878.636	101.558816590229	99.6881377140302
LR778292.1	C.acrinasus	THU097	6.85366	290.243	102.399341818182	89.2552057716591
LR778253.1	C.acrinasus	THU114	6	2348.37	65.0913517453505	88.3561868116016
LR778254.1	C.acrinasus	THU114	6	512.545	59.8175020121279	76.2384878736176
LR778255.1	C.acrinasus	THU114	6	503.245	59.2523283297872	75.3656314775519
LR778256.1	C.acrinasus	THU114	6	738.35	60.3868627951636	87.6699821285893
LR778257.1	C.acrinasus	THU114	6	505.403	57.5580172398414	78.7101453583455
LR778258.1	C.acrinasus	THU114	6	1401.25	60.368624036791	82.6631942410284
LR778259.1	C.acrinasus	THU114	6	676.607	59.323187716915	79.9915130632427
LR778260.1	C.acrinasus	THU114	6	632.745	63.6236769944789	83.6919023533847
LR778261.1	C.acrinasus	THU114	6	1882.2	63.5235097718121	83.7948937220089
LR778262.1	C.acrinasus	THU114	6	496.939	59.7762760731437	74.9629024927759
LR778263.1	C.acrinasus	THU114	6	523.88	62.5898149489449	79.7718664062309
LR778264.1	C.acrinasus	THU114	6	727.53	62.1503300104895	79.3745686392331
LR778265.1	C.acrinasus	THU114	6	1049.38	62.6964911992754	81.3178028963815
LR778266.1	C.acrinasus	THU114	6	4058.25	62.8120775972851	116.074299212954
LR778267.1	C.acrinasus	THU114	6	788.361	60.2038972287688	79.9131932798798
LR778268.1	C.acrinasus	THU114	6	645.608	61.4666003104575	78.6103664872484
LR778269.1	C.acrinasus	THU114	6	821.747	60.9768737878788	82.7542246583342
LR778270.1	C.acrinasus	THU114	6	1072.17	64.302174659751	88.2832082002066
LR778271.1	C.acrinasus	THU114	6	1133.91	61.324493645461	80.8386428551924
LR778272.1	C.acrinasus	THU114	6	492.593	65.2537603856859	80.691239143601
LR778273.1	C.acrinasus	THU114	6	501.466	62.1160851340659	77.7479829825658
LR778274.1	C.acrinasus	THU114	6	1225.69	68.5878877994429	123.157913977066
LR778275.1	C.acrinasus	THU114	6	644.266	60.6744972590361	78.2331342850165
LR778276.1	C.acrinasus	THU114	6	1363.06	60.7313643302048	82.221562686039
LR778277.1	C.acrinasus	THU114	6	763.298	62.3075689221825	81.1833503998079
LR778278.1	C.acrinasus	THU114	6	500.74	62.345567811523	77.6071981899493
LR778279.1	C.acrinasus	THU114	6	531.707	62.873802943067	79.7991567896456
LR778280.1	C.acrinasus	THU114	6	787.441	59.9139258008175	97.6815725925292
LR778281.1	C.acrinasus	THU114	6	3208.49	62.3093549229414	102.298529016598
LR778282.1	C.acrinasus	THU114	6	677.38	60.2389114952424	77.6558669095977
LR778283.1	C.acrinasus	THU114	6	491.275	59.7987169437229	76.7071979177909
LR778284.1	C.acrinasus	THU114	6	1612.08	64.2324363691323	117.891064213745
LR778285.1	C.acrinasus	THU114	6	516.78	61.6882848907388	78.9954286768809
LR778286.1	C.acrinasus	THU114	6	2045.36	63.5984410098793	97.4330592678846
LR778287.1	C.acrinasus	THU114	6	1143.97	59.8822450840708	92.7597277539701
LR778288.1	C.acrinasus	THU114	6	547.937	64.9750896476241	82.0290378262151
LR778289.1	C.acrinasus	THU114	6	989.974	64.8650479093567	89.6684735321592
LR778290.1	C.acrinasus	THU114	6	1409.39	68.5370318394471	127.25848462581
LR778291.1	C.acrinasus	THU114	6	1039.12	63.1634188345865	85.3039612529446
LR778292.1	C.acrinasus	THU114	6	423.126	56.8772567213115	74.2164526464346
LR778253.1	C.acrinasus	THU143	6	2705.74	47.2046408360982	65.2499114802994
LR778254.1	C.acrinasus	THU143	6	236.952	42.5750050416983	40.8421757780356
LR778255.1	C.acrinasus	THU143	6	239.423	44.0300501601831	41.8534390812589
LR778256.1	C.acrinasus	THU143	6	401.574	47.5233447124371	49.7675642782582
LR778257.1	C.acrinasus	THU143	6	255.66	45.008657037037	43.7471809808624
LR778258.1	C.acrinasus	THU143	6	347.995	45.345454080417	43.649451948429
LR778259.1	C.acrinasus	THU143	6	292.517	44.2030694659886	44.1576387913857
LR778260.1	C.acrinasus	THU143	6	535.107	46.4359710351562	45.8055850768386
LR778261.1	C.acrinasus	THU143	6	1970.44	46.5720925282486	59.0327673981715
LR778262.1	C.acrinasus	THU143	6	222.226	44.1696123839662	41.5713446339718
LR778263.1	C.acrinasus	THU143	6	518.012	46.5318460701928	44.1645837747204
LR778264.1	C.acrinasus	THU143	6	696.096	44.3710692652068	44.8091765861491
LR778265.1	C.acrinasus	THU143	6	1563.02	46.5420708646999	54.6873281264774
LR778266.1	C.acrinasus	THU143	6	1621.91	46.7375929850746	59.6485706618165
LR778267.1	C.acrinasus	THU143	6	773.713	44.0424436421911	46.6296947110011
LR778268.1	C.acrinasus	THU143	6	342.209	45.3015292737752	43.510148810407
LR778269.1	C.acrinasus	THU143	6	424.264	46.406330520622	45.8201952896775
