Plate	Sample	Concentration	ng20	Volume	Amount
D	LAN095	1.22	24.4	8.19672131147541	10
D	175621	1.1	22	9.09090909090909	10
C	LAN098	1.24	24.8	8.06451612903226	10
C	SUO095	0.838	16.76	11.9331742243437	10
C	BRZ115	2.04	40.8	4.90196078431373	10
C	THU119	1.79	35.8	5.58659217877095	10
C	WAL079	1.92	38.4	5.20833333333333	10
C	LAN099	1.72	34.4	5.81395348837209	10
C	THU120	1.67	33.4	5.98802395209581	10
C	LAN102	1.29	25.8	7.75193798449612	10
C	SUO099	1.65	33	6.06060606060606	10
C	THU124	2.18	43.6	4.58715596330275	10
C	WAL084	1.87	37.4	5.3475935828877	10
C	LAN103	2.08	41.6	4.80769230769231	10
C	THU127	1.09	21.8	9.1743119266055	10
C	LAN111	1.13	22.6	8.8495575221239	10
C	SUO101	0.788	15.76	12.6903553299492	10
C	THU128	0.81	16.2	12.3456790123457	10
C	WAL086	1.37	27.4	7.2992700729927	10
C	LAN113	0.346	6.92	25	8.65
C	THU143	1.12	22.4	8.92857142857143	10
C	LAN114	0.602	12.04	16.6112956810631	10
C	SUO104	0.916	18.32	10.9170305676856	10
C	THU164	0.972	19.44	10.2880658436214	10
C	WAL088	1.17	23.4	8.54700854700855	10
C	LAN115	1.14	22.8	8.7719298245614	10
C	THU165	0.55	11	18.1818181818182	10
C	LAN117	0.3	6	25	7.5
C	SUO108	0.536	10.72	18.6567164179104	10
C	THU168	1.25	25	8	10
C	SUO111	0.516	10.32	19.3798449612403	10
C	THU173	0.88	17.6	11.3636363636364	10
C	SUO112	0.442	8.84	22.6244343891403	10
C	THU177	0.766	15.32	13.0548302872063	10
C	SUO114	0.814	16.28	12.2850122850123	10
C	THU179	0.624	12.48	16.025641025641	10
C	LAN130	0.526	10.52	19.0114068441065	10
C	SUO115	1.17	23.4	8.54700854700855	10
C	SUO116	0.934	18.68	10.7066381156317	10
C	THU183	0.836	16.72	11.9617224880383	10
C	LAN131	0.492	9.84	20.3252032520325	10
C	SUO117	0.75	15	13.3333333333333	10
C	THU185	0.926	18.52	10.7991360691145	10
C	SUO119	1.31	26.2	7.63358778625954	10
C	LAN132	0.676	13.52	14.792899408284	10
C	SUO118	0.68	13.6	14.7058823529412	10
C	THU190	0.638	12.76	15.6739811912226	10
C	SUO120	0.596	11.92	16.7785234899329	10
C	THU197	1.17	23.4	8.54700854700855	10
C	SUO122	1.27	25.4	7.8740157480315	10
C	SUO124	0.506	10.12	19.7628458498024	10
C	THU198	1.03	20.6	9.70873786407767	10
C	SUO125	0.496	9.92	20.1612903225806	10
C	LAN134	0.498	9.96	20.0803212851406	10
C	SUO126	0.63	12.6	15.8730158730159	10
C	THU199	0.82	16.4	12.1951219512195	10
C	ZUR011	0.336	6.72	25	8.4
C	SUO127	0.666	13.32	15.015015015015	10
C	ZUR018	0.516	10.32	19.3798449612403	10
C	LAN049	0.412	8.24	24.2718446601942	10
C	175600	0.892	17.84	11.2107623318386	10
C	SUO034	0.842	16.84	11.8764845605701	10
C	BIE045	0.588	11.76	17.0068027210884	10
C	175601	0.422	8.44	23.696682464455	10
