HOP085 	 1887 	 1914
HOP086 	 1932 	 1965
HOP087 	 1926 	 2102
HOP088 	 94 	 119
HOP089 	 0 	 0
HOP090 	 1 	 0
HOP091 	 0 	 0
HOP092 	 2 	 0
HOP093 	 0 	 1
HOP094 	 0 	 1
HOP095 	 1 	 1
HOP096 	 1 	 0
HOP097 	 0 	 0
HOP098 	 0 	 0
HOP099 	 1 	 0
HOP100 	 0 	 0
HOP101 	 0 	 0
HOP102 	 0 	 0
HOP103 	 1 	 0
HOP104 	 0 	 0
LAN005 	 4663149 	 4585966
LAN017 	 6796436 	 6603499
LAN018 	 4941516 	 4836728
LAN019 	 7647247 	 7595144
LAN022 	 4481560 	 4408293
LAN029 	 508283 	 519200
LAN033 	 2767873 	 2754075
LAN038 	 4475886 	 4464379
LAN039 	 6864503 	 6744241
LAN040 	 8336791 	 8116846
LAN041 	 5962959 	 5866520
LAN042 	 6861928 	 6852043
LAN043 	 6727761 	 6678114
LAN044 	 1614140 	 1611859
LAN045 	 1546752 	 1539091
LAN047 	 1725697 	 1728305
LAN048 	 1546270 	 1372564
LAN049 	 2964000 	 2981527
LAN050 	 5414176 	 5453054
LAN052 	 2231546 	 2172004
LAN059 	 5506580 	 5448219
LAN060 	 5078293 	 4984132
LAN061 	 3842355 	 3548798
LAN062 	 1893847 	 1769877
LAN063 	 3142949 	 3106963
LAN064 	 2690481 	 2684756
LAN065 	 4329976 	 4352816
LAN067 	 5445366 	 5471815
LAN071 	 5155304 	 5180979
LAN072 	 3787751 	 3703342
LAN074 	 5424633 	 5395691
LAN087 	 4981718 	 4930902
LAN088 	 4746129 	 4644927
LAN089 	 5673066 	 5630889
LAN090 	 5478604 	 5395965
LAN092 	 4649672 	 4607836
LAN093 	 5209356 	 5067392
LAN095 	 6859699 	 6744312
LAN097 	 5217971 	 5248119
LAN098 	 1408717 	 1406716
LAN099 	 4783037 	 4739406
LAN102 	 3531103 	 3431914
LAN103 	 4808087 	 4684431
LAN111 	 3594149 	 3518939
LAN113 	 3231829 	 3209379
LAN114 	 4728794 	 4669340
LAN115 	 6421662 	 6382246
LAN117 	 1626962 	 1567194
LAN119 	 4787378 	 4401898
LAN130 	 3404902 	 3395372
